1.007252 -0.007198  1.000054 1.014451
1.007254 -0.007316  0.999938 1.014570
1.007257 -0.007607  0.999650 1.014864
1.007265 -0.008076  0.999189 1.015341
1.007277 -0.008728  0.998549 1.016005
1.007294 -0.009571  0.997724 1.016865
1.007319 -0.010610  0.996709 1.017929
1.007352 -0.011852  0.995499 1.019204
1.007396 -0.013302  0.994094 1.020698
1.007456 -0.015003  0.992453 1.022459
1.007538 -0.017108  0.990430 1.024646
1.007647 -0.019715  0.987933 1.027362
1.007791 -0.022911  0.984880 1.030702
1.007977 -0.026775  0.981202 1.034752
1.008213 -0.031381  0.976832 1.039594
1.008512 -0.036945  0.971567 1.045458
1.008888 -0.043744  0.965144 1.052632
1.009354 -0.052008  0.957346 1.061362
1.009926 -0.061945  0.947981 1.071871
1.010635 -0.074107  0.936529 1.084742
1.011512 -0.088936  0.922575 1.100448
1.012594 -0.107009  0.905585 1.119603
1.013930 -0.129141  0.884789 1.143071
1.015578 -0.156193  0.859385 1.171771
1.017613 -0.189330  0.828283 1.206942
1.020130 -0.230022  0.790108 1.250151
1.023232 -0.279687  0.743545 1.302919
1.027064 -0.340499  0.686565 1.367563
1.031802 -0.415041  0.616760 1.446843
1.037662 -0.506398  0.531265 1.544060
1.044913 -0.618210  0.426703 1.663124
1.053879 -0.754709  0.299170 1.808588
1.064982 -0.921567  0.143415 1.986549
1.078715 -1.124663  -0.045948 2.203377
1.095695 -1.371320  -0.275625 2.467015
1.116665 -1.669602  -0.552937 2.786267
1.142499 -2.028231  -0.885732 3.170730
1.174197 -2.456083  -1.281886 3.630280
1.212849 -2.961444  -1.748595 4.174293
1.259581 -3.551373  -2.291792 4.810954
1.315399 -4.229530  -2.914131 5.544929
1.380969 -4.994280  -3.613311 6.375249
1.456344 -5.836197  -4.379854 7.292541
1.540801 -6.737395  -5.196593 8.278196
1.632684 -7.669491  -6.036807 9.302174
1.729597 -8.596621  -6.867023 10.326218
1.828504 -9.477545  -7.649040 11.306049
1.925970 -10.271100  -8.345130 12.197070
2.018302 -10.940915  -8.922612 12.959217
2.101798 -11.460784  -9.358986 13.562582
2.173520 -11.817831  -9.644311 13.991351
2.231531 -12.012085  -9.780555 14.243616
2.275179 -12.055480  -9.780301 14.330659
2.305342 -11.969725  -9.664382 14.275067
2.324167 -11.782380  -9.458214 14.106547
2.333917 -11.521907  -9.187990 13.855823
2.335893 -11.215987  -8.880095 13.551880
2.331673 -10.888244  -8.556571 13.219918
2.323294 -10.557770  -8.234476 12.881064
2.312357 -10.238109  -7.925752 12.550466
2.299284 -9.938228  -7.638945 12.237512
2.284847 -9.663133  -7.378286 11.947980
2.269866 -9.415358  -7.145491 11.685224
2.254956 -9.194995  -6.940039 11.449952
2.240674 -9.002496  -6.761822 11.243170
2.227144 -8.836277  -6.609134 11.063421
2.214493 -8.694415  -6.479922 10.908907
2.202593 -8.574401  -6.371808 10.776994
2.191468 -8.474160  -6.282692 10.665629
2.181374 -8.391372  -6.209998 10.572746
2.173083 -8.323623  -6.150540 10.496706
2.168416 -8.268786  -6.100370 10.437202
2.169946 -8.224976  -6.055030 10.394921
2.182512 -8.190073  -6.007561 10.372585
2.204770 -8.161783  -5.957013 10.366554
2.219583 -8.137678  -5.918095 10.357260
2.219235 -8.116900  -5.897664 10.336135
2.206033 -8.100867  -5.894833 10.306900
2.182309 -8.092731  -5.910422 10.275040
2.151319 -8.096854  -5.945535 10.248173
2.119362 -8.120249  -6.000887 10.239612
2.096627 -8.170817  -6.074190 10.267444
2.098551 -8.257545  -6.158994 10.356097
2.135417 -8.388807  -6.253390 10.524225
2.187826 -8.570039  -6.382213 10.757866
2.231734 -8.805588  -6.573854 11.037321
2.269620 -9.096618  -6.826998 11.366238
2.302603 -9.435699  -7.133096 11.738301
2.330946 -9.804151  -7.473205 12.135097
2.357720 -10.174182  -7.816462 12.531903
2.387206 -10.512939  -8.125733 12.900145
2.421571 -10.790276  -8.368704 13.211847
2.462036 -10.989014  -8.526978 13.451050
2.506888 -11.108172  -8.601284 13.615059
2.550403 -11.155798  -8.605395 13.706202
2.579468 -11.142896  -8.563427 13.722364
2.581194 -11.079769  -8.498575 13.660963
2.562869 -10.973786  -8.410917 13.536655
2.527281 -10.829216  -8.301934 13.356497
