Ángulo del crista	Tasa con 11kV	Tasa con 14kV	Tasa con 17kV	Tasa con 20kV	Tasa con 23kV	Tasa con 26kV	Tasa con 29kV	Tasa con 32kV	Tasa con 35kV
theta/°	R(11kV)/Imp/s	R(14kV)/Imp/s	R(17kV)/Imp/s	R(20kV)/Imp/s	R(23kV)/Imp/s	R(26kV)/Imp/s	R(29kV)/Imp/s	R(32kV)/Imp/s	R(35kV)/Imp/s

19,0	11,0	37,0	64,0	102,0	139,0	186,0	228,0	272,0	0,0
19,1	15,0	38,0	82,0	100,0	146,0	203,0	221,0	275,0	0,0
19,2	13,0	40,0	63,0	103,0	146,0	191,0	254,0	259,0	0,0
19,3	16,0	36,0	68,0	100,0	147,0	193,0	245,0	268,0	0,0
19,4	10,0	40,0	68,0	111,0	142,0	189,0	221,0	277,0	0,0
19,5	15,0	39,0	70,0	104,0	133,0	183,0	210,0	285,0	0,0
19,6	16,0	48,0	78,0	99,0	153,0	191,0	229,0	255,0	0,0
19,7	19,0	48,0	66,0	105,0	152,0	186,0	227,0	268,0	0,0
19,8	18,0	47,0	67,0	111,0	152,0	187,0	221,0	265,0	0,0
19,9	19,0	47,0	74,0	111,0	159,0	197,0	272,0	271,0	0,0
20,0	17,0	45,0	85,0	116,0	178,0	213,0	257,0	290,0	0,0
20,1	16,0	62,0	108,0	174,0	224,0	308,0	371,0	455,0	0,0
20,2	40,0	98,0	188,0	322,0	451,0	608,0	722,0	885,0	0,0
20,3	24,0	108,0	218,0	337,0	515,0	695,0	815,0	993,0	0,0
20,4	30,0	90,0	168,0	290,0	400,0	566,0	675,0	853,0	0,0
20,5	29,0	84,0	147,0	257,0	384,0	452,0	588,0	677,0	0,0
20,6	23,0	93,0	166,0	269,0	385,0	533,0	617,0	797,0	0,0
20,7	34,0	161,0	311,0	527,0	701,0	896,0	1109,0	1347,0	0,0
20,8	37,0	167,0	326,0	544,0	791,0	1052,0	1294,0	1581,0	0,0
20,9	27,0	100,0	174,0	312,0	462,0	577,0	777,0	908,0	0,0
21,0	34,0	106,0	187,0	334,0	473,0	650,0	784,0	933,0	0,0
21,1	40,0	108,0	240,0	341,0	521,0	666,0	841,0	1003,0	0,0
21,2	18,0	74,0	132,0	217,0	314,0	407,0	559,0	676,0	0,0
21,3	21,0	58,0	106,0	170,0	230,0	301,0	356,0	445,0	0,0
21,4	21,0	48,0	77,0	126,0	186,0	248,0	325,0	364,0	0,0
21,5	19,0	54,0	70,0	126,0	179,0	247,0	303,0	373,0	0,0
21,6	17,0	48,0	81,0	140,0	190,0	249,0	315,0	351,0	0,0
21,7	18,0	47,0	86,0	131,0	179,0	249,0	331,0	364,0	0,0
21,8	18,0	40,0	90,0	139,0	201,0	255,0	291,0	385,0	0,0
21,9	22,0	47,0	89,0	142,0	204,0	262,0	331,0	368,0	0,0
22,0	20,0	51,0	95,0	158,0	217,0	285,0	355,0	427,0	0,0
22,1	23,0	48,0	87,0	161,0	223,0	307,0	368,0	418,0	0,0
22,2	22,0	69,0	127,0	187,0	264,0	348,0	420,0	497,0	0,0
22,3	28,0	95,0	190,0	301,0	445,0	551,0	675,0	819,0	0,0
22,4	80,0	343,0	660,0	1079,0	1508,0	1887,0	2311,0	2710,0	0,0
22,5	86,0	411,0	847,0	1392,0	1859,0	2401,0	2960,0	3446,0	0,0
22,6	95,0	403,0	844,0	1304,0	1850,0	2379,0	3034,0	3461,0	0,0
22,7	53,0	296,0	540,0	936,0	1307,0	1695,0	2075,0	2548,0	0,0
22,8	49,0	191,0	407,0	713,0	1018,0	1357,0	1659,0	1962,0	0,0
22,9	61,0	235,0	540,0	836,0	1145,0	1506,0	1793,0	2159,0	0,0
23,0	137,0	581,0	1179,0	1837,0	2462,0	3161,0	3777,0	4361,0	0,0
23,1	113,0	584,0	1167,0	1862,0	2739,0	3445,0	4242,0	4974,0	0,0
23,2	71,0	301,0	611,0	1031,0	1466,0	1900,0	2378,0	2979,0	0,0
23,3	68,0	277,0	630,0	1003,0	1374,0	1824,0	2176,0	2564,0	0,0
23,4	100,0	382,0	854,0	1339,0	1789,0	2390,0	2832,0	3455,0	0,0
23,5	64,0	269,0	554,0	968,0	1343,0	1787,0	2279,0	2684,0	0,0
23,6	27,0	79,0	167,0	289,0	417,0	548,0	754,0	868,0	0,0
23,7	19,0	47,0	114,0	161,0	229,0	318,0	408,0	465,0	0,0
23,8	19,0	43,0	90,0	146,0	199,0	280,0	336,0	395,0	0,0
23,9	19,0	37,0	71,0	127,0	184,0	234,0	303,0	326,0	0,0
24,0	13,0	35,0	73,0	109,0	170,0	195,0	273,0	298,0	0,0
24,1	16,0	35,0	68,0	96,0	162,0	208,0	242,0	307,0	0,0
24,2	16,0	30,0	63,0	95,0	135,0	186,0	240,0	298,0	0,0
24,3	15,0	34,0	56,0	93,0	144,0	175,0	241,0	249,0	0,0
24,4	18,0	39,0	58,0	92,0	132,0	169,0	214,0	262,0	0,0
24,5	11,0	29,0	58,0	94,0	132,0	172,0	197,0	242,0	0,0
24,6	13,0	28,0	58,0	84,0	134,0	169,0	192,0	239,0	0,0
24,7	14,0	28,0	49,0	84,0	127,0	155,0	188,0	225,0	0,0
24,8	18,0	31,0	68,0	92,0	119,0	163,0	211,0	224,0	0,0
24,9	20,0	38,0	61,0	96,0	116,0	157,0	178,0	208,0	0,0
25,0	14,0	23,0	56,0	87,0	130,0	155,0	171,0	209,0	0,0
