Ángulo del crista	Tasa con 35kV
theta/°	R(35kV)/Imp/s

3,0	581,0
3,1	182,0
3,2	60,0
3,3	25,0
3,4	29,0
3,5	19,0
3,6	28,0
3,7	17,0
3,8	16,0
3,9	26,0
4,0	21,0
4,1	20,0
4,2	22,0
4,3	19,0
4,4	24,0
4,5	20,0
4,6	16,0
4,7	18,0
4,8	22,0
4,9	18,0
5,0	20,0
5,1	18,0
5,2	14,0
5,3	21,0
5,4	25,0
5,5	32,0
5,6	32,0
5,7	50,0
5,8	42,0
5,9	49,0
6,0	56,0
6,1	51,0
6,2	57,0
6,3	65,0
6,4	65,0
6,5	70,0
6,6	72,0
6,7	73,0
6,8	69,0
6,9	77,0
7,0	77,0
7,1	78,0
7,2	79,0
7,3	81,0
7,4	69,0
7,5	89,0
7,6	100,0
7,7	100,0
7,8	102,0
7,9	105,0
8,0	102,0
8,1	91,0
8,2	110,0
8,3	111,0
8,4	115,0
8,5	111,0
8,6	110,0
8,7	106,0
8,8	110,0
8,9	116,0
9,0	124,0
9,1	139,0
9,2	131,0
9,3	135,0
9,4	136,0
9,5	134,0
9,6	126,0
9,7	135,0
9,8	136,0
9,9	135,0
10,0	143,0
10,1	144,0
10,2	147,0
10,3	149,0
10,4	152,0
10,5	145,0
10,6	162,0
10,7	144,0
10,8	147,0
10,9	173,0
11,0	157,0
11,1	145,0
11,2	150,0
11,3	152,0
11,4	150,0
11,5	165,0
11,6	165,0
11,7	152,0
11,8	166,0
11,9	158,0
12,0	176,0
12,1	159,0
12,2	159,0
12,3	159,0
12,4	162,0
12,5	150,0
12,6	158,0
12,7	160,0
12,8	158,0
12,9	158,0
13,0	158,0
13,1	160,0
13,2	156,0
13,3	163,0
13,4	158,0
13,5	147,0
13,6	151,0
13,7	129,0
13,8	126,0
13,9	142,0
14,0	117,0
14,1	113,0
14,2	127,0
14,3	115,0
14,4	120,0
14,5	120,0
14,6	109,0
14,7	124,0
14,8	125,0
14,9	117,0
15,0	116,0
15,1	111,0
15,2	120,0
15,3	120,0
15,4	115,0
15,5	114,0
15,6	111,0
15,7	106,0
15,8	119,0
15,9	104,0
16,0	118,0
16,1	118,0
16,2	115,0
16,3	118,0
16,4	114,0
16,5	110,0
16,6	108,0
16,7	111,0
16,8	117,0
16,9	91,0
17,0	98,0
17,1	91,0
17,2	100,0
17,3	110,0
17,4	79,0
17,5	93,0
17,6	104,0
17,7	92,0
17,8	95,0
17,9	99,0
18,0	81,0
18,1	93,0
18,2	85,0
18,3	85,0
18,4	88,0
18,5	90,0
18,6	84,0
18,7	83,0
18,8	87,0
18,9	90,0
19,0	94,0
19,1	88,0
19,2	96,0
19,3	90,0
19,4	97,0
19,5	86,0
19,6	82,0
19,7	89,0
19,8	89,0
19,9	90,0
20,0	100,0
20,1	126,0
20,2	189,0
20,3	311,0
20,4	890,0
20,5	1188,0
20,6	770,0
20,7	516,0
20,8	608,0
20,9	280,0
21,0	161,0
21,1	137,0
21,2	111,0
21,3	124,0
21,4	105,0
21,5	119,0
21,6	114,0
21,7	108,0
21,8	113,0
21,9	125,0
22,0	114,0
22,1	126,0
22,2	134,0
22,3	144,0
22,4	321,0
22,5	683,0
22,6	1559,0
22,7	3445,0
22,8	4513,0
22,9	2760,0
23,0	1506,0
23,1	1628,0
23,2	763,0
23,3	371,0
23,4	121,0
23,5	115,0
23,6	88,0
23,7	84,0
23,8	75,0
23,9	79,0
24,0	70,0
24,1	62,0
24,2	63,0
24,3	68,0
24,4	56,0
24,5	59,0
24,6	60,0
24,7	58,0
24,8	58,0
24,9	62,0
25,0	51,0
25,1	50,0
25,2	44,0
25,3	51,0
25,4	54,0
25,5	49,0
25,6	48,0
25,7	44,0
25,8	46,0
25,9	39,0
26,0	45,0
26,1	41,0
26,2	39,0
26,3	42,0
26,4	35,0
26,5	35,0
26,6	39,0
26,7	33,0
26,8	37,0
26,9	37,0
27,0	33,0
27,1	28,0
27,2	34,0
27,3	31,0
27,4	31,0
27,5	24,0
27,6	33,0
27,7	26,0
27,8	26,0
27,9	27,0
28,0	27,0
28,1	25,0
28,2	26,0
28,3	26,0
28,4	22,0
28,5	22,0
28,6	28,0
28,7	19,0
28,8	29,0
28,9	23,0
29,0	17,0
29,1	19,0
29,2	23,0
29,3	24,0
29,4	17,0
29,5	20,0
29,6	20,0
29,7	18,0
29,8	19,0
29,9	18,0
30,0	16,0
30,1	19,0
30,2	16,0
30,3	16,0
30,4	20,0
30,5	19,0
30,6	12,0
30,7	18,0
30,8	17,0
30,9	18,0
31,0	16,0
31,1	15,0
31,2	15,0
31,3	13,0
31,4	11,0
31,5	13,0
31,6	14,0
31,7	13,0
31,8	15,0
31,9	15,0
32,0	11,0
32,1	8,0
32,2	12,0
32,3	11,0
32,4	10,0
32,5	11,0
32,6	12,0
32,7	14,0
32,8	10,0
32,9	9,0
33,0	9,0
33,1	9,0
33,2	9,0
33,3	15,0
33,4	11,0
33,5	11,0
33,6	9,0
33,7	9,0
33,8	11,0
33,9	7,0
34,0	8,0
34,1	10,0
34,2	10,0
34,3	12,0
34,4	9,0
34,5	9,0
34,6	9,0
34,7	12,0
34,8	8,0
34,9	10,0
35,0	9,0
35,1	9,0
35,2	7,0
35,3	9,0
35,4	7,0
35,5	8,0
35,6	9,0
35,7	7,0
35,8	9,0
35,9	10,0
36,0	6,0
36,1	10,0
36,2	4,0
36,3	7,0
36,4	5,0
36,5	8,0
36,6	7,0
36,7	9,0
36,8	9,0
36,9	11,0
37,0	8,0
37,1	8,0
37,2	8,0
37,3	9,0
37,4	7,0
37,5	9,0
37,6	5,0
37,7	7,0
37,8	8,0
37,9	8,0
38,0	6,0
38,1	6,0
38,2	7,0
38,3	7,0
38,4	7,0
38,5	8,0
38,6	6,0
38,7	8,0
38,8	6,0
38,9	6,0
39,0	9,0
39,1	7,0
39,2	8,0
39,3	7,0
39,4	9,0
39,5	7,0
39,6	7,0
39,7	7,0
39,8	8,0
39,9	7,0
40,0	9,0
40,1	9,0
40,2	6,0
40,3	6,0
40,4	8,0
40,5	5,0
40,6	9,0
40,7	5,0
40,8	7,0
40,9	7,0
41,0	8,0
41,1	4,0
41,2	5,0
41,3	5,0
41,4	5,0
41,5	7,0
41,6	8,0
41,7	7,0
41,8	4,0
41,9	6,0
42,0	4,0
42,1	9,0
42,2	7,0
42,3	5,0
42,4	5,0
42,5	7,0
42,6	7,0
42,7	9,0
42,8	8,0
42,9	10,0
43,0	4,0
43,1	7,0
43,2	7,0
43,3	7,0
43,4	10,0
43,5	8,0
43,6	11,0
43,7	9,0
43,8	17,0
43,9	28,0
44,0	41,0
44,1	52,0
44,2	49,0
44,3	34,0
44,4	13,0
44,5	8,0
44,6	10,0
44,7	8,0
44,8	7,0
44,9	8,0
45,0	7,0
45,1	8,0
45,2	5,0
45,3	8,0
45,4	4,0
45,5	12,0
45,6	6,0
45,7	7,0
45,8	6,0
45,9	6,0
46,0	5,0
46,1	7,0
46,2	7,0
46,3	6,0
46,4	4,0
46,5	8,0
46,6	7,0
46,7	9,0
46,8	6,0
46,9	6,0
47,0	7,0
47,1	7,0
47,2	6,0
47,3	8,0
47,4	10,0
47,5	7,0
47,6	6,0
47,7	10,0
47,8	5,0
47,9	7,0
48,0	8,0
48,1	6,0
48,2	13,0
48,3	5,0
48,4	7,0
48,5	6,0
48,6	9,0
48,7	7,0
48,8	8,0
48,9	8,0
49,0	7,0
49,1	9,0
49,2	7,0
49,3	11,0
49,4	7,0
49,5	10,0
49,6	9,0
49,7	14,0
49,8	13,0
